INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID40891151	DSSTox_Substance_Id	DTXSID40891151	Poly(oxymethylene), alpha-acetyl-omega-(acetyloxy)-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891156	DSSTox_Substance_Id	DTXSID40891156	Poly(oxy-1,2-ethanediyl), alpha-phosphono-omega-hydroxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891171	DSSTox_Substance_Id	DTXSID40891171	Polyoxyethylene monotetradecyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891191	DSSTox_Substance_Id	DTXSID40891191	Poly(oxy-1,2-ethanediyl), alpha-(1,1'-biphenyl)-2-yl-omega-hydroxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891196	DSSTox_Substance_Id	DTXSID40891196	PEG-3 Dipalmitate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891232	DSSTox_Substance_Id	DTXSID40891232	Butylpolyethoxyethanol esters of phosphoric acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891237	DSSTox_Substance_Id	DTXSID40891237	Poly(oxy-1,2-ethanediyl), alpha-(1-oxohexadecyl)-omega-methoxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891272	DSSTox_Substance_Id	DTXSID40891272	Yohimbine hydrochloride	C21H27ClN2O3	390.91	2.47526e-11	11.0062	143.583	360.329	6.09648e-09	1.07771	9.50159	13695.9	1.01479	217.748	2.29227e-09	0.00187515
DTXSID40891313	DSSTox_Substance_Id	DTXSID40891313	Poly(oxy-1,2-ethanediyl), alpha-(1-oxo-2-propen-1-yl)-omega-(2-propen-1-yloxy)-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891353	DSSTox_Substance_Id	DTXSID40891353	Ethylene oxide polymer ether with glycerol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891555	DSSTox_Substance_Id	DTXSID40891555	Uridine	C9H12N2O6	244.203	2.75505e-11	1.75747	3.52674	309.195	1.93464e-10	0.241629	9.38949	50.8202	-1.98015	165.001	5.99227e-11	0.0342213
DTXSID40891732	DSSTox_Substance_Id	DTXSID40891732	Alcohols, coco, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891873	DSSTox_Substance_Id	DTXSID40891873	Magnesium lauryl sulfate	C48H100MgO16S4	1085.86	1.87269e-11	5.99846	4.68114	291.201	2.32822e-07	0.495797	9.71461	1234.14	1.07715	177.407	2.08107e-05	0.00589567
DTXSID40891878	DSSTox_Substance_Id	DTXSID40891878	Dipotassium tin hexahydroxide	H6K4O6Sn	377.144	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891893	DSSTox_Substance_Id	DTXSID40891893	Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891898	DSSTox_Substance_Id	DTXSID40891898	D-Glucopyranose,oligomeric, C8-10-alkyl glycosides	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891914	DSSTox_Substance_Id	DTXSID40891914	2,5-Furandione, polymer with ethenylbenzene, ammonium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891919	DSSTox_Substance_Id	DTXSID40891919	Styrene, methacrylic acid, butyl acrylate, methyl methacrylate, acrylonitrile polymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891954	DSSTox_Substance_Id	DTXSID40891954	Dodecyl glucoside	C18H36O6	348.48	1.66256e-11	29.5138	3.5596	350.617	1.48054e-09	0.277628	9.40324	2450.15	2.38024	124.948	7.61189e-10	0.00138891
DTXSID40891959	DSSTox_Substance_Id	DTXSID40891959	Alcohols, C10-12, ethoxylated propoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891974	DSSTox_Substance_Id	DTXSID40891974	Alcohols, C6-10, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891979	DSSTox_Substance_Id	DTXSID40891979	Cocoa butter	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40891999	DSSTox_Substance_Id	DTXSID40891999	Glycerides, C8-18 and C18-unsatd. mono- and di-, acetates	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID40892002	DSSTox_Substance_Id	DTXSID40892002	Fatty acids, C10-20 and C16-18-unsatd., reaction products with triethanolamine, di-Me sulfate-quaternized	-	-	-	-	-	-	-	-	-	-	-	-	-	-
