INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID701012243	DSSTox_Substance_Id	DTXSID701012243	Hexanedioic acid, polymer with 1,3-diisocyanatomethylbenzene, 1,2-ethanediol and 1,2-propanediol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012255	DSSTox_Substance_Id	DTXSID701012255	2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-chloro-1,3-butadiene and ethenylbenzene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012267	DSSTox_Substance_Id	DTXSID701012267	Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylsulfophenoxy)-, branched, diammonium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012279	DSSTox_Substance_Id	DTXSID701012279	Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-phosphinicobis[.omega.-(hexyloxy)-, ammonium salt (1:1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012281	DSSTox_Substance_Id	DTXSID701012281	1,3-Benzenedicarboxylic acid, polymer with 1,2-ethanediol, 2,5-furandione and 2,2'-oxybis[ethanol]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012293	DSSTox_Substance_Id	DTXSID701012293	Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-1,2-ethanediylbis[.omega.-hydroxy-, butyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012300	DSSTox_Substance_Id	DTXSID701012300	Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C11-15-sec-alkyl ethers, phosphates	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012312	DSSTox_Substance_Id	DTXSID701012312	2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and ethyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012324	DSSTox_Substance_Id	DTXSID701012324	2-Oxepanone, polymer with 1,4-butanediol, 1,1'-methylenebis[isocyanatobenzene] and oxybis[propanol]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012336	DSSTox_Substance_Id	DTXSID701012336	Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[(1-oxooctadecyl)oxy]-, ether with D-glucitol (4:1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012348	DSSTox_Substance_Id	DTXSID701012348	1,3-Benzenedicarboxylic acid, polymer with 2,5-furandione, hexanedioic acid and 2,2'-oxybis[ethanol]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID70101235	DSSTox_Substance_Id	DTXSID70101235	1-Aziridineethanol, homopolymer, reaction products with benzyl chloride	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012350	DSSTox_Substance_Id	DTXSID701012350	1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester, polymer with 1,2-ethanediol and 1,2,3-propanetriol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012362	DSSTox_Substance_Id	DTXSID701012362	1,3-Benzenedicarboxylic acid, polymer with 1,2-ethanediol, nonanedioic acid and 2,2'-oxybis[ethanol]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012374	DSSTox_Substance_Id	DTXSID701012374	Hexanedioic acid, polymer with 1,2-ethanediol and 1-isocyanato-2-[(4-isocyanatophenyl)methyl]benzene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012386	DSSTox_Substance_Id	DTXSID701012386	Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-(nitrilotri-2,1-ethanediyl)tris[.omega.-hydroxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012398	DSSTox_Substance_Id	DTXSID701012398	Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane, dodecanoate 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012405	DSSTox_Substance_Id	DTXSID701012405	Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C7-9-isoalkyl ethers, C8-rich, sodium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012417	DSSTox_Substance_Id	DTXSID701012417	Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane and 2,2'-iminobis[ethanol]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID701012429	DSSTox_Substance_Id	DTXSID701012429	Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C11-15-branched alkyl ethers, ammonium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
