"dsstox_substance_id","CAS","Substance_Name","Pred.SHEDS.Direct","Pred.SHEDS.Indirect","Pred.FINE","Pred.Food.Contact","Pred.REDS","Pred.RAIDAR","Pred.RAIDAR.ICE","Pred.USETox.Pest","Pred.USETox.Indust","Pred.USETox.Res","Pred.USETox.Diet","Pred.Production.Volume","Pred.Stockholm","delta.Diet.pred","delta.Res.pred","delta.Pest.pred","delta.Indust.pred","Pred.SHEDS.Direct.log.scale","Pred.SHEDS.Indirect.log.scale","Pred.FINE.log.scale","Pred.Food.Contact.log.scale","Pred.REDS.log.scale","Pred.RAIDAR.log.scale","Pred.RAIDAR.ICE.log.scale","Pred.USETox.Pest.log.scale","Pred.USETox.Indust.log.scale","Pred.USETox.Res.log.scale","Pred.USETox.Diet.log.scale","Pred.Production.Volume.log.scale","Pred.Stockholm.log.scale","seem3","seem3.l95","seem3.u95"
"DTXSID00162031","1424-27-7","Acetazolamide sodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0554762605728,0,0.1406,0.2758,0.3598,0.0498,0,0,0,0,0,0,0,0,0,0,0,-0.30401944644223,0,1.64307662010368e-07,4.35584523464395e-09,0.000104319300576721
"DTXSID00185285","31363-74-3","""5,7-Dihydroxytryptamine""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0554762605728,0,0.2466,0.4638,0.2836,0.379,0,0,0,0,0,0,0,0,0,0,0,-0.30401944644223,0,5.36659985078124e-07,6.21554401350261e-09,0.000175202313557496
"DTXSID00193209","4021-34-5","""5-Methoxy-N,N-diisopropyltryptamine""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0554762605728,0,0.0938,0.403,0.179,0.2526,0,0,0,0,0,0,0,0,0,0,0,-0.30401944644223,0,2.00116816882879e-07,4.02582041060051e-09,0.000138794377511331
"DTXSID00199549","516-05-2","Methylmalonic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0554762605728,0,0.732,0.2942,0.4534,0.721,0,0,0,0,0,0,0,0,0,0,0,-0.30401944644223,0,3.71187366005021e-07,6.88440740075301e-09,0.000250592412774693
"DTXSID00199685","51753-57-2","Phenazepam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0554762605728,0,0.1654,0.2316,0.2842,0.0588,0,0,0,0,0,0,0,0,0,0,0,-0.30401944644223,0,1.23939312102187e-07,3.91336348365662e-09,4.04367855296048e-05
"DTXSID0020022","50594-66-6","Acifluorfen",NA,NA,NA,NA,0.005,0.00691,NA,0.02884012546887,0.000866319742235,0.0187667923793,0.000396362096136,31.0554762605728,0,0.1906,0.2348,0.9778,0.0146,0,0,0,0,-0.809312261697943,1.07272705903676,0,0.29006827130465,0.632839513302281,0.427006729984599,0.731631902977534,-0.30401944644223,0,9.85783324924923e-08,4.96587083582012e-09,3.10151922654892e-05
"DTXSID0020076","61-82-5","Amitrole",NA,NA,NA,NA,NA,0.00017,NA,0.113850506119989,0.000175880408691,0.07197381097246,0.0004711077005943,31.0554762605728,0,0.3512,0.3684,0.7736,0.34,0,0,0,0,0,0.0376670802579352,0,1.6876390643059,-0.254417717288224,1.67712362637497,0.893127297195507,-0.30401944644223,0,4.19010922607402e-07,4.49642688115707e-09,0.000225678874920081
"DTXSID0020105","134-03-2","Sodium L-ascorbate",NA,NA,0,NA,NA,NA,NA,0.058394155437775,0.000130488971776622,0.21472069274524,0.000166192404431,138884.311984544,0,0.9652,0.6702,0.8288,0.305,0,0,-5,0,0,0,0,1.00807889298295,-0.420531497661032,2.69364563534478,-0.0808829402739735,2.18426370593053,0,0.0508407598120669,1.2390355512331e-06,33.8093220833892
"DTXSID0020107","22839-47-0","Aspartame",NA,NA,NA,NA,NA,0.00174,NA,0.0351190101752627,6.3722544958049e-05,0.118908678484286,0.00010089449851115,31.0554762605728,0,0.6642,0.3536,0.6714,0.0802,0,0,0,0,0,0.687446755490941,0,0.49055088224521,-0.819378725707602,2.14403278288467,-0.547416320278665,-0.30401944644223,0,2.24340300429494e-06,2.7529875894252e-08,0.0025974496474909
"DTXSID0020232","58-08-2","Caffeine",0,NA,0,NA,NA,0.00473,NA,0.0621741771131265,5.17462040675e-05,0.0072964309696062,0.0001675006424708,277.768623969087,0,0.5944,0.5314,0.8522,0.0746,-4,0,-5,0,0,0.966831914482292,0,1.07191981624753,-0.935227922781671,-0.451566559661355,-0.073553135338095,0.344577635735721,0,1.76203402438761e-06,9.61329071375045e-09,0.000367545891589913
